,candidate_list,nombre_de_suffrages_exprimes,states,times_data_collection,votants
0,Autre-Castle-Clinton-Johnson-McMullin-Stein-Trump,2944813,Minnesota,2016-11-08T20:00,2944813
1,Autre-Blanc-Clinton-Johnson-Stein-Trump,2123372,Alabama,2016-11-08T20:01,2137482
2,Autre-Blanc-Castle-Clinton-Johnson-McMullin-Stein-Trump,497146,Montana,2016-11-08T20:01,516901
3,Autre-Castle-Clinton-Johnson-McMullin-Stein-Trump,1131430,Utah,2016-11-08T20:01,1131430
4,Autre-Castle-Clinton-Johnson-McMullin-Stein-Trump,2103027,Caroline_du_Sud,2016-11-08T20:02,2103027
5,Autre-Blanc-Castle-Clinton-Johnson-McMullin-Stein-Trump,7710326,New_York,2016-11-08T20:02,7787064
6,Autre-Blanc-Castle-Clinton-Johnson-McMullin-Stein-Trump,798318,Nouveau_Mexique,2016-11-08T20:03,804043
7,Autre-Blanc-Clinton-Johnson-McMullin-Stein-Trump,14181584,Californie,2016-11-08T20:04,14610499
8,Autre-Blanc-Castle-Clinton-Johnson-McMullin-Stein-Trump,2780220,Colorado,2016-11-08T20:04,2859216
9,Autre-Blanc-Castle-Clinton-Johnson-McMullin-Stein-Trump,1644920,Connecticut,2016-11-08T20:05,1675934
10,Autre-Blanc-Clinton-Johnson-Stein-Trump,311268,District_de_Columbia,2016-11-08T20:08,372575
11,Autre-Blanc-Castle-Clinton-Johnson-McMullin-Stein-Trump,1924149,Kentucky,2016-11-08T20:08,1949254
12,Autre-Blanc-Clinton-Johnson-Stein-Trump,4741564,Caroline_du_Nord,2016-11-08T20:09,4769640
13,Autre-Castle-Clinton-Johnson-McMullin-Stein-Trump,315067,Vermont,2016-11-08T20:09,315067
14,Castle-Clinton-Johnson-Trump,370093,Dakota_du_Sud,2016-11-08T20:10,370093
15,Autre-Blanc-Castle-Clinton-Johnson-Stein-Trump,318608,Alaska,2016-11-08T20:11,321274
